,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
S06,2,3,3,3,2,1,1,3,2,2,3,3,1,1,3,3,2,2,4,2,1,3,2,2,2,2,1,1
S07,3,3,2,2,2,1,1,3,3,2,3,3,1,0,2,2,2,2,2,2,0,2,2,3,2,2,1,0
S08,2,2,2,3,4,3,0,3,3,2,2,3,2,1,4,3,2,2,2,1,1,3,3,2,2,3,2,1
S09,4,4,2,2,2,1,0,3,3,2,2,3,1,0,3,3,2,3,4,1,0,4,4,4,3,3,1,0
S12,2,2,3,3,3,1,1,2,1,1,2,2,1,1,3,3,2,2,3,1,1,3,3,3,2,2,1,1
S15,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,3,3,3,2,2,1,1
S18,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1
S23,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,2,3,2,2,3,3,2,0
